"날짜","종목코드","종목명","급등 사유","등락"
"2013-02-27","","","안철수 전 서울대 교수가 다음달 귀국해 신당을 창당한다는 소식에 안철수 관련주로 언급되며 상한가",""
"2013-02-28","","","가짜 석유 불법유통에 대한 세무조사 착수 소식에 관련주로 언급되며 상한가",""
"2013-02-28","","","최대주주 지분 증가 소식",""
"2013-02-28","","","지난해 실적 개선 모멘텀 지속",""
"2013-02-28","","","㈜나라에이스홀딩스 대상 유상증자 결정",""
"2013-02-28","","","가짜 석유 불법유통에 대한 세무조사 착수 소식에 관련주로 언급되며 상한가",""
"2013-02-28","","","폴리실리콘 가격 상승에 따른 태양광 에너지 관련주 상승",""
"2013-02-28","","","동사 및 자회사 지난해 실적 개선",""
"2013-03-04","","","지난해 실적 개선 모멘텀 지속",""
"2013-03-04","","","안철수 전 대선 후보가 4.24 재/보궐 선거에서 서울 노원병 지역구에 출마키로 했다는 소식에 안철수 관련주로 언급되는 종목들이 대거 상한가를 기록",""
"2013-03-04","","","안철수 전 대선 후보가 4.24 재/보궐 선거에서 서울 노원병 지역구에 출마키로 했다는 소식에 안철수 관련주로 언급되는 종목들이 대거 상한가를 기록",""
"2013-03-04","","","안철수 전 대선 후보가 4.24 재/보궐 선거에서 서울 노원병 지역구에 출마키로 했다는 소식에 안철수 관련주로 언급되는 종목들이 대거 상한가를 기록",""
"2013-03-04","","","안철수 전 대선 후보가 4.24 재/보궐 선거에서 서울 노원병 지역구에 출마키로 했다는 소식에 안철수 관련주로 언급되는 종목들이 대거 상한가를 기록",""
"2013-03-04","","","안철수 전 대선 후보가 4.24 재/보궐 선거에서 서울 노원병 지역구에 출마키로 했다는 소식에 안철수 관련주로 언급되는 종목들이 대거 상한가를 기록",""
"2013-03-04","","","안철수 전 대선 후보가 4.24 재/보궐 선거에서 서울 노원병 지역구에 출마키로 했다는 소식에 안철수 관련주로 언급되는 종목들이 대거 상한가를 기록",""
"2013-03-04","","","안철수 전 대선 후보가 4.24 재/보궐 선거에서 서울 노원병 지역구에 출마키로 했다는 소식에 안철수 관련주로 언급되는 종목들이 대거 상한가를 기록",""
"2013-03-04","","","안철수 전 대선 후보가 4.24 재/보궐 선거에서 서울 노원병 지역구에 출마키로 했다는 소식에 안철수 관련주로 언급되는 종목들이 대거 상한가를 기록",""
"2013-03-04","","","지난해 실적 호조",""
"2013-03-04","","","안철수 전 대선 후보가 4.24 재/보궐 선거에서 서울 노원병 지역구에 출마키로 했다는 소식에 안철수 관련주로 언급되는 종목들이 대거 상한가를 기록",""
"2013-03-04","","","안철수 전 대선 후보가 4.24 재/보궐 선거에서 서울 노원병 지역구에 출마키로 했다는 소식에 안철수 관련주로 언급되는 종목들이 대거 상한가를 기록",""
"2013-03-04","","","안철수 전 대선 후보가 4.24 재/보궐 선거에서 서울 노원병 지역구에 출마키로 했다는 소식에 안철수 관련주로 언급되는 종목들이 대거 상한가를 기록",""
"2013-03-05","","","안철수 전 대선 후보가 4.24 재/보궐 선거에서 서울 노원병 지역구에 출마키로 했다는 소식에 안철수 관련주로 언급되며 이틀째 상한가",""
"2013-03-05","","","올해 매출 성장 기대감",""
"2013-03-05","","","한국전력의 지능형 전력계량 인프라 투자 소식에 관련주로 언급되며 상한가",""
"2013-03-05","","","매각 주관사 선정 소식",""
"2013-03-05","","","지난해 실적 호조",""
"2013-03-05","","","120억원 규모 BW발행 결정",""
"2013-03-05","","","갤럭시S4에 눈동자 추적기술을 탑재했다는 소식에 관련주로 언급되며 상한가",""
"2013-03-06","","","한국전력의 지능형 전력계량 인프라 투자 소식에 관련주로 언급되며 이틀째 상한가",""
"2013-03-06","","","갤럭시S4에 눈동자 추적기술을 탑재했다는 소식에 관련주로 언급되며 이틀째 상한가",""
"2013-03-06","","","북한의 정전협정 전면 백지화 선언에 전쟁 및 테러/방위산업 관련주 급등",""
"2013-03-06","","","갤럭시S4에 모바일인터넷전화(m-VolP) 기능을 탑재한다는 소식에 관련주로 언급되며 상한가",""
"2013-03-06","","","35억원 규모 BW발행 결정",""
"2013-03-06","","","북한의 정전협정 전면 백지화 선언에 전쟁 및 테러/방위산업 관련주 급등",""
"2013-03-06","","","지난해 실적 개선",""
"2013-03-06","","","지난해 실적 호조",""
"2013-03-07","","","북한의 도발 가능성에 일부 전쟁 및 테러/방위산업 관련주 급등",""
"2013-03-07","","","분할 결정 모멘텀 지속",""
"2013-03-07","","","삼성전자 갤럭시S4 숨은 수혜주로 부각되며 상한가",""
"2013-03-07","","","북한의 도발 가능성에 일부 전쟁 및 테러/방위산업 관련주 급등",""
"2013-03-08","","","하나은행으로의 최대주주 변경",""
"2013-03-08","","","삼성전자 갤럭시S4 숨은 수혜주로 부각되며 이틀째 상한가",""
"2013-03-08","","","플렉시블 박막 태양전지의 가스차단장치 관련 특허권 취득",""
"2013-03-08","","","지난해 영업이익 흑자전환",""
"2013-03-08","","","지난해 영업이익, 순이익 전년대비 흑자전환",""
"2013-03-11","","","삼성전자 갤럭시S4 숨은 수혜주로 부각되며 사흘째 상한가",""
